wrID,wrCommentaryId,wrEventRefID,wrTeamID,wrInningsID,wrMarketName,wrMargin,wrStatus,wrIsPredefineMarket,wrIsOver,wrOver,wrIsPlayer,wrPlayerID,wrIsAutoCancel,wrAutoOpenType,wrAutoOpen,wrAutoCloseType,wrBeforeAutoClose,wrAutoSuspendType,wrBeforeAutoSuspend,wrIsBallStart,wrIsAutoResultSet,wrAutoResultType,wrAutoResultafterBall,wrAfterWicketAutoSuspend,wrAfterWicketNotCreated,wrIsActive,wrIsAllow,wrCloseTime,wrOpenTime,wrSettledTime,wrResult,wrIsResult,wrData,wrLastUpdate,wrIsSendData,wrActionType,wrMarketTemplateId,wrMarketTypeId,wrMarketTypeCategoryId,wrCreateRefId,wrOpenRefId,wrCreateType,wrCreate,wrTemplateType,wrDelay,wrLineRatio,wrOpenOdds,wrMinOdds,wrMaxOdds,wrRateSource,wrRateSourceRefID,wrPredefinedValue,wrLineType,wrDefaultBackSize,wrDefaultLaySize,wrIsDeleted,wrDeletedBy,wrDeletedAt,wrAfterSuspendTime,wrAfterCloseTime,wrDefaultIsSendData,wrRateDiff
16719,4766,74302981,1,1,Abhishek Sharma  boundaries,5.0,1,False,False,0.0,True,204648,False,2,0.4,2,40.0,0,0.0,True,True,1,3.0,7,7,True,True,0,2024-11-19 16:47:25.351334+00:00,0,0,False,"{""marketId"": 16719, ""eventId"": ""74302981"", ""marketName"": ""Abhishek Sharma  boundaries"", ""status"": 1, ""isActive"": true, ""isAllow"": true, ""runner"": [{""runnerId"": 25981, ""status"": 1, ""line"": 0.0, ""overRate"": 0.53, ""underRate"": 0.32, ""backPrice"": 1.0, ""layPrice"": 0.0, ""backSize"": 90.0, ""laySize"": 110.0}]}",2024-11-19 16:47:27.865675+00:00,True,1,274,2,29,,,1,0.3,3,1,0.0,22.9,0.0,22.9,1,0,0,2,90.0,110.0,False,0,0,0,0,True,1.0
16721,4766,74302981,1,1,Abhishek Sharma  runs,5.0,1,False,False,0.0,True,204648,False,2,0.4,2,15.0,2,15.0,True,True,1,3.0,7,7,True,True,0,2024-11-19 16:47:46.852660+00:00,0,0,False,"{""marketId"": 16721, ""eventId"": ""74302981"", ""marketName"": ""Abhishek Sharma  runs"", ""status"": 1, ""isActive"": true, ""isAllow"": true, ""runner"": [{""runnerId"": 25983, ""status"": 1, ""line"": 25.0, ""overRate"": 0.53, ""underRate"": 0.32, ""backPrice"": 25.0, ""layPrice"": 25.0, ""backSize"": 90.0, ""laySize"": 110.0}]}",2024-11-19 16:47:49.637426+00:00,True,1,266,2,12,,,1,0.3,3,1,0.0,22.9,22.9,25.0,1,0,0,2,90.0,110.0,False,0,0,0,0,True,0.0
16720,4766,74302981,1,1, Arshdeep Singh boundaries,5.0,1,False,False,0.0,True,204657,False,2,0.4,2,40.0,0,0.0,True,True,1,3.0,7,7,True,True,0,2024-11-19 16:47:32.275071+00:00,0,0,False,"{""marketId"": 16720, ""eventId"": ""74302981"", ""marketName"": "" Arshdeep Singh boundaries"", ""status"": 1, ""isActive"": true, ""isAllow"": true, ""runner"": [{""runnerId"": 25982, ""status"": 1, ""line"": 0.0, ""overRate"": 0.53, ""underRate"": 0.32, ""backPrice"": 1.0, ""layPrice"": 0.0, ""backSize"": 90.0, ""laySize"": 110.0}]}",2024-11-19 16:47:34.510433+00:00,True,1,274,2,29,,,1,0.3,3,1,0.0,6.25,0.0,6.25,1,0,0,2,90.0,110.0,False,0,0,0,0,True,1.0
16722,4766,74302981,1,1, Arshdeep Singh runs,5.0,1,False,False,0.0,True,204657,False,2,0.4,2,15.0,2,15.0,True,True,1,3.0,7,7,True,True,0,2024-11-19 16:47:54.496228+00:00,0,0,False,"{""marketId"": 16722, ""eventId"": ""74302981"", ""marketName"": "" Arshdeep Singh runs"", ""status"": 1, ""isActive"": true, ""isAllow"": true, ""runner"": [{""runnerId"": 25984, ""status"": 1, ""line"": 7.0, ""overRate"": 0.53, ""underRate"": 0.32, ""backPrice"": 7.0, ""layPrice"": 7.0, ""backSize"": 90.0, ""laySize"": 110.0}]}",2024-11-19 16:47:56.829755+00:00,True,1,266,2,12,,,1,0.3,3,1,0.0,6.25,6.0,7.0,1,0,0,2,90.0,110.0,False,0,0,0,0,True,0.0
